cluster_id,ward,area_m2,d_toilet,n_toilet,d_health,n_health,d_school,n_school,d_school_municipal,n_school_municipal,d_park,n_park,d_fire,n_fire,d_police,n_police,d_bus,n_bus,d_rail,n_rail,d_funeral,n_funeral,toilet_seats,toilet_seats_f
342,S,18212.239222244287,49.99705979332177,0,742.1020371647447,0,2.8942106060546617,0,126.65739466573437,0,32.91513587014439,0,2167.6386679279276,0,445.9530570492705,0,12.813794155860135,0,575.6593678007498,0,657.2238253292936,0,0.0,0.0
343,S,2452.4775886895536,90.46728367700943,0,643.528466931698,0,182.45807135501963,0,252.67590342118075,0,100.49419983137928,0,2515.9550810518667,0,361.7782878946543,0,150.04830919021987,0,919.5463123704795,0,403.1878956192019,0,0.0,0.0
344,S,39345.12618215041,0.0,6,401.7581864710437,0,35.751498200836096,0,573.0385387723228,0,456.65823308485784,0,1965.7067106551567,0,1216.2459841080754,0,17.953129094507222,0,677.5133232382306,0,652.9067090434878,0,75.0,38.0
345,S,854.6700029107584,61.99052588833792,0,392.76578456354224,0,54.663284801460534,0,800.2096030306869,0,746.6427719582896,0,2041.6134764841413,0,1401.0166584358728,0,226.28733828767255,0,863.8603680364571,0,859.2131352445149,0,0.0,0.0
346,S,1220.0176136591044,113.7601494853195,0,689.0100061983587,0,62.31857396732409,0,62.31857396732409,0,116.62658597280338,0,2638.655043291551,0,445.78151183691,0,99.77994632605794,0,987.7130515841307,0,362.5482870760577,0,0.0,0.0
347,S,1067.283772612428,132.5497823460001,0,670.1478940882264,0,68.06833768990018,0,68.06833768990018,0,95.74278087304585,0,2652.294887671179,0,424.10396492998365,0,120.76446614773913,0,1001.6584926072865,0,345.0507825344339,0,0.0,0.0
348,S,1603.6875780544767,31.580471607891173,0,420.88319983246,0,164.92549629193854,0,409.89271588718873,0,118.3021228909709,0,2477.0263714638736,0,475.60580158091847,0,55.39259053962352,0,617.3417366720444,0,572.8567937074905,0,0.0,0.0
349,S,30797.871504556533,0.0,3,341.7086555941494,0,159.28432971317352,0,410.1860129120421,0,91.5535462843032,0,2190.7488208583545,0,355.61196840171726,0,54.86125973462704,0,637.4120903629986,0,577.4538390930209,0,19.0,14.0
350,S,2635.645868556437,0.0,1,151.43106655173312,0,398.50473780150054,0,603.8501177635276,0,134.50789684896395,0,2521.4334420424616,0,166.79951938386034,0,115.1378929037033,0,939.4089356397611,0,903.4358593391772,0,6.0,3.0
351,S,288.9681851009262,49.65862205422849,0,301.6197140399511,0,99.52241672924424,0,463.92272098273804,0,206.96570724169004,0,3409.2279115901856,0,922.6214637275057,0,13.876980390563961,0,1092.3275180763467,0,201.2641661180943,0,0.0,0.0
352,S,2169.731575509165,374.25068870040354,0,879.0916375929658,0,196.32571008701174,0,196.32571008701174,0,125.69295511066365,0,2127.0144040884024,0,649.9684931624201,0,79.61888051093074,0,725.394693307666,0,784.0635198038208,0,0.0,0.0
353,S,969.9919502756045,60.79341376163728,0,717.4019265957161,0,422.33852338617896,0,622.7274707757562,0,126.15337241224249,0,1367.8547271679897,0,1047.3921661501106,0,18.073082190139857,0,1332.336869509588,0,251.01791667792344,0,0.0,0.0
354,S,5924.697120496109,123.75886332531246,0,367.7403104236166,0,0.0,1,76.39031185853476,0,440.9658471968496,0,2412.628878873475,0,1915.2200972921214,0,207.37314616088034,0,1143.2031664354217,0,353.6337201681258,0,0.0,0.0
355,S,891.7770827157232,138.72600947154461,0,757.8346449204006,0,64.32458494894392,0,64.32458494894392,0,387.29534812025156,0,2849.856417003613,0,1994.314571990127,0,50.55971962622072,0,1003.3264819504664,0,194.02008774681823,0,0.0,0.0
356,S,5356.6671524605335,0.0,1,341.3323479775134,0,22.266798141219798,0,22.266798141219798,0,718.0983729409553,0,3624.000380299996,0,112.42561864167153,0,186.65904821743874,0,818.4203375336655,0,188.51239241052514,0,4.0,0.0
357,S,40909.09876199164,0.0,5,292.51875635627124,0,7.676364573780731,0,32.04771460617759,0,549.7229865143096,0,3484.0461275018124,0,14.668772676638012,0,23.591472840951965,0,633.9576900621446,0,63.839384001496505,0,36.0,20.0
358,S,276666.96717237204,0.0,35,31.282791850358077,0,0.0,2,0.0,1,97.85937398934301,0,3820.425912842463,0,57.456499380018904,0,29.208347125721687,0,468.2108479468788,0,10.081244537108399,0,266.0,140.0
359,S,7441.434580846038,0.0,2,418.21368727419275,0,31.49911047939763,0,42.410831974217054,0,345.1040590225168,0,3998.184627347991,0,268.18601514025585,0,57.975426929598086,0,898.6045150035972,0,196.7187842696796,0,12.0,5.0
360,S,43907.99433508942,0.0,12,488.4276849755944,0,9.270011888613885,0,220.59855522823116,0,364.82926175889656,0,3540.7595507720794,0,236.64978455853887,0,13.5353365313781,0,563.1034509154898,0,216.38354961945757,0,130.0,68.0
361,S,2988.8848598962154,133.95689480275263,0,648.5232068220516,0,71.92003652439202,0,300.6039140418547,0,83.3065306672089,0,4168.037963463765,0,593.5524038354977,0,68.75463213373403,0,766.3635532024315,0,529.6772724295353,0,0.0,0.0
362,S,18552.62351380895,0.0,3,504.47382822915614,0,93.44359822044635,0,146.1280901600659,0,112.32944707299606,0,4249.779549879144,0,579.1063466354664,0,142.44349194953566,0,639.8990361196825,0,502.3103059180141,0,12.0,10.0
363,S,5131.576526919401,0.0,2,553.0819631712228,0,41.66312761989663,0,82.354459504182,0,250.0173941849448,0,4218.429057731148,0,500.82164877419996,0,195.97476234445622,0,760.596040263843,0,421.65792139958927,0,9.0,9.0
364,S,994.9415057862246,0.8154801036740377,0,446.3797403996534,0,34.491017694229996,0,34.491017694229996,0,412.94618640731284,0,4170.826919801931,0,393.82293095138107,0,218.4588785312216,0,917.1511806570712,0,311.2873684672021,0,0.0,0.0
365,S,4506.184571202799,0.0,1,437.85010278807704,0,174.0296028420712,0,214.2498585816067,0,332.82528547732477,0,3959.2629950895503,0,269.4506782447728,0,0.0,2,970.2317938717315,0,199.09067291540313,0,5.0,3.0
