ward,n,area_ha,area_median_ha,area_max_ha,n_in_use,n_municipal,borough,electors,area_km2,has_polygon,n_disused,n_per_km2,area_pct_of_ward,n_per_10k_electors,disused_share,municipal_share
135,2,0.42000000000000004,0.21000000000000002,0.33,2,0,XV,24915,0.3345802494620081,True,0,5.977639155975051,1.2553042227547608,0.8027292795504716,0.0,0.0
136,21,4.39,0.14,0.57,19,1,XV,18261,0.5295160958804237,True,2,39.6588510970255,8.290588395997235,11.499917857729587,0.09523809523809523,0.047619047619047616
137,1,0.04,0.04,0.04,1,0,XV,13760,0.6248066989097893,True,0,1.6004950038866048,0.0640198001554642,0.7267441860465116,0.0,0.0
138,15,1.33,0.06,0.24,2,0,XV,26001,0.8080568058717837,True,13,18.563051373371003,1.6459238884388956,5.769008884273682,0.8666666666666667,0.0
139,50,6.33,0.07,1.67,13,0,XV,25348,1.614937916364287,True,37,30.960942518809084,3.9196553228812294,19.725422124033454,0.74,0.0
140,90,7.08,0.06,0.9,23,0,XV,29785,1.5468196013646252,True,67,58.18390193698139,4.577133619042536,30.21655195568239,0.7444444444444445,0.0
141,169,12.97,0.06,0.39,71,0,XV,21217,2.6081327092975637,True,98,64.79731625524377,4.972906460535572,79.65310835650658,0.5798816568047337,0.0
142,24,4.67,0.17,0.34,20,0,XVI,15873,,False,4,,,15.12001512001512,0.16666666666666666,0.0
143,17,2.75,0.13,0.55,12,0,XVI,22471,,False,5,,,7.565306394908994,0.29411764705882354,0.0
144,27,5.46,0.18,0.5,24,0,XVI,9457,,False,3,,,28.55028021571323,0.1111111111111111,0.0
